"","origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour","time","season","temp_cel","dewp_cel","precip_cm"
"1","JFK",2013,1,1,1,39.02,26.06,59.37,260,12.65858,NA,0,1012.6,10,"01/01/2013 01:00",2013-01-01 01:00:00,"Winter",3.9,-3.3,0
"2","JFK",2013,1,1,2,39.02,26.06,59.37,270,11.5078,NA,0,1012.4,10,"01/01/2013 02:00",2013-01-01 02:00:00,"Winter",3.9,-3.3,0
"3","JFK",2013,1,1,3,39.92,26.96,59.5,260,14.96014,NA,0,1012.7,10,"01/01/2013 03:00",2013-01-01 03:00:00,"Winter",4.4,-2.8,0
"4","JFK",2013,1,1,4,39.92,28.04,62.21,250,17.2617,NA,0,1012.6,10,"01/01/2013 04:00",2013-01-01 04:00:00,"Winter",4.4,-2.2,0
"5","JFK",2013,1,1,5,39.02,26.96,61.63,260,14.96014,NA,0,1012.1,10,"01/01/2013 05:00",2013-01-01 05:00:00,"Winter",3.9,-2.8,0
"6","JFK",2013,1,1,6,37.94,26.96,64.29,260,13.80936,NA,0,1012.6,10,"01/01/2013 06:00",2013-01-01 06:00:00,"Winter",3.3,-2.8,0
"7","JFK",2013,1,1,7,39.02,28.04,64.43,260,13.80936,NA,0,1012.5,10,"01/01/2013 07:00",2013-01-01 07:00:00,"Winter",3.9,-2.2,0
"8","JFK",2013,1,1,8,39.92,26.96,59.5,260,17.2617,NA,0,1012.6,10,"01/01/2013 08:00",2013-01-01 08:00:00,"Winter",4.4,-2.8,0
"9","JFK",2013,1,1,9,39.92,26.96,59.5,260,16.11092,NA,0,1013,10,"01/01/2013 09:00",2013-01-01 09:00:00,"Winter",4.4,-2.8,0
"10","JFK",2013,1,1,10,41,28.04,59.65,260,16.11092,NA,0,1012.8,10,"01/01/2013 10:00",2013-01-01 10:00:00,"Winter",5,-2.2,0
"11","JFK",2013,1,1,11,41,26.96,57.06,270,14.96014,NA,0,1011.7,10,"01/01/2013 11:00",2013-01-01 11:00:00,"Winter",5,-2.8,0
"12","JFK",2013,1,1,13,37.94,26.6,64.7,340,14.96014,NA,0,NA,10,"01/01/2013 13:00",2013-01-01 13:00:00,"Winter",3.3,-3,0
"13","JFK",2013,1,1,14,39.02,24.08,54.68,310,11.5078,NA,0,1011.2,10,"01/01/2013 14:00",2013-01-01 14:00:00,"Winter",3.9,-4.4,0
"14","JFK",2013,1,1,15,39.02,23,52.26,290,12.65858,NA,0,1011.7,10,"01/01/2013 15:00",2013-01-01 15:00:00,"Winter",3.9,-5,0
"15","JFK",2013,1,1,16,37.94,17.96,44,320,17.2617,24.16638,0,1012.1,10,"01/01/2013 16:00",2013-01-01 16:00:00,"Winter",3.3,-7.8,0
"16","JFK",2013,1,1,17,37.04,17.06,43.85,330,16.11092,25.31716,0,1013.2,10,"01/01/2013 17:00",2013-01-01 17:00:00,"Winter",2.8,-8.3,0
"17","JFK",2013,1,1,18,35.06,14,41.51,310,14.96014,NA,0,1014.2,10,"01/01/2013 18:00",2013-01-01 18:00:00,"Winter",1.7,-10,0
"18","JFK",2013,1,1,19,33.08,14,44.92,350,13.80936,24.16638,0,1014.3,10,"01/01/2013 19:00",2013-01-01 19:00:00,"Winter",0.599999999999999,-10,0
"19","JFK",2013,1,1,20,32,14,46.92,330,16.11092,NA,0,1015.1,10,"01/01/2013 20:00",2013-01-01 20:00:00,"Winter",0,-10,0
"20","JFK",2013,1,1,21,30.02,10.94,44.41,330,21.86482,29.92028,0,1015.3,10,"01/01/2013 21:00",2013-01-01 21:00:00,"Winter",-1.1,-11.7,0
"21","JFK",2013,1,1,22,28.94,10.94,46.41,320,16.11092,NA,0,1016.4,10,"01/01/2013 22:00",2013-01-01 22:00:00,"Winter",-1.7,-11.7,0
"22","JFK",2013,1,1,23,26.96,8.06,44.25,320,20.71404,35.67418,0,1016.5,10,"01/01/2013 23:00",2013-01-01 23:00:00,"Winter",-2.8,-13.3,0
"23","JFK",2013,1,2,0,26.06,8.06,45.93,320,18.41248,29.92028,0,1016.1,10,"02/01/2013 00:00",2013-01-02 00:00:00,"Winter",-3.3,-13.3,0
"24","JFK",2013,1,2,1,26.06,8.06,45.93,330,19.56326,27.61872,0,1016.4,10,"02/01/2013 01:00",2013-01-02 01:00:00,"Winter",-3.3,-13.3,0
"25","JFK",2013,1,2,2,24.98,8.06,48.03,310,18.41248,NA,0,1016.8,10,"02/01/2013 02:00",2013-01-02 02:00:00,"Winter",-3.9,-13.3,0
"26","JFK",2013,1,2,3,24.98,8.06,48.03,320,17.2617,21.86482,0,1016.5,10,"02/01/2013 03:00",2013-01-02 03:00:00,"Winter",-3.9,-13.3,0
"27","JFK",2013,1,2,4,24.08,8.06,49.87,330,17.2617,24.16638,0,1016.9,10,"02/01/2013 04:00",2013-01-02 04:00:00,"Winter",-4.4,-13.3,0
"28","JFK",2013,1,2,5,23,8.96,54.34,350,11.5078,NA,0,1017.1,10,"02/01/2013 05:00",2013-01-02 05:00:00,"Winter",-5,-12.8,0
"29","JFK",2013,1,2,6,23,8.96,54.34,340,9.20624,NA,0,1017.2,10,"02/01/2013 06:00",2013-01-02 06:00:00,"Winter",-5,-12.8,0
"30","JFK",2013,1,2,7,23,8.96,54.34,340,10.35702,NA,0,1017.7,10,"02/01/2013 07:00",2013-01-02 07:00:00,"Winter",-5,-12.8,0
"31","JFK",2013,1,2,8,24.98,8.06,48.03,320,12.65858,NA,0,1018.4,10,"02/01/2013 08:00",2013-01-02 08:00:00,"Winter",-3.9,-13.3,0
"32","JFK",2013,1,2,9,26.96,8.06,44.25,310,12.65858,NA,0,1019,10,"02/01/2013 09:00",2013-01-02 09:00:00,"Winter",-2.8,-13.3,0
"33","JFK",2013,1,2,10,28.94,8.96,42.48,300,13.80936,18.41248,0,1018.6,10,"02/01/2013 10:00",2013-01-02 10:00:00,"Winter",-1.7,-12.8,0
"34","JFK",2013,1,2,11,30.02,10.04,42.66,300,20.71404,25.31716,0,1017.8,10,"02/01/2013 11:00",2013-01-02 11:00:00,"Winter",-1.1,-12.2,0
"35","JFK",2013,1,2,12,30.92,10.04,41.13,310,14.96014,24.16638,0,1016.6,10,"02/01/2013 12:00",2013-01-02 12:00:00,"Winter",-0.599999999999999,-12.2,0
"36","JFK",2013,1,2,13,33.08,10.94,39.25,310,16.11092,NA,0,1017.2,10,"02/01/2013 13:00",2013-01-02 13:00:00,"Winter",0.599999999999999,-11.7,0
"37","JFK",2013,1,2,14,35.06,10.94,36.26,300,13.80936,21.86482,0,1017.5,10,"02/01/2013 14:00",2013-01-02 14:00:00,"Winter",1.7,-11.7,0
"38","JFK",2013,1,2,15,33.98,10.04,36.37,320,19.56326,25.31716,0,1018.3,10,"02/01/2013 15:00",2013-01-02 15:00:00,"Winter",1.1,-12.2,0
"39","JFK",2013,1,2,16,32,10.94,40.99,310,16.11092,NA,0,1018.8,10,"02/01/2013 16:00",2013-01-02 16:00:00,"Winter",0,-11.7,0
